N,backend,solver,repeat,time_s
160,metal,rb_sor,6,1.091660209
160,metal,rb_sor,7,0.958214
160,metal,rb_sor,8,1.029735833
160,metal,rb_sor,9,0.845574459
160,metal,rb_sor,10,0.962871166
160,metal,rb_sor,11,0.891791709
160,metal,rb_sor,12,0.920239458
160,metal,rb_sor,13,0.846662459
160,metal,rb_sor,14,0.917037417
160,metal,rb_sor,15,0.847805375
160,metal,rb_sor,16,0.920271167
160,metal,rb_sor,17,0.979704
160,metal,rb_sor,18,0.891914958
160,metal,rb_sor,19,0.911010334
160,metal,rb_sor,20,0.853818
180,metal,rb_sor,1,0.943593208
180,metal,rb_sor,2,0.905152625
180,metal,rb_sor,3,0.991081584
180,metal,rb_sor,4,0.883008708
180,metal,rb_sor,5,0.940444709
180,metal,rb_sor,6,0.946008583
180,metal,rb_sor,7,0.877231458
180,metal,rb_sor,8,0.954464583
180,metal,rb_sor,9,0.84707875
180,metal,rb_sor,10,0.96382275
180,metal,rb_sor,11,0.947265417
180,metal,rb_sor,12,0.882312333
180,metal,rb_sor,13,0.962637042
180,metal,rb_sor,14,0.86096725
180,metal,rb_sor,15,0.939245917
180,metal,rb_sor,16,0.869493666
180,metal,rb_sor,17,0.954550375
180,metal,rb_sor,18,0.956853458
180,metal,rb_sor,19,0.865689208
180,metal,rb_sor,20,0.960562792
200,metal,rb_sor,1,0.909101334
200,metal,rb_sor,2,0.979369209
200,metal,rb_sor,3,0.966196917
200,metal,rb_sor,4,0.976511666
200,metal,rb_sor,5,0.8941845
200,metal,rb_sor,6,0.966091583
200,metal,rb_sor,7,0.970074917
200,metal,rb_sor,8,0.970213708
200,metal,rb_sor,9,0.889074292
200,metal,rb_sor,10,1.067872792
200,metal,rb_sor,11,2.0022115
200,metal,rb_sor,12,0.895230208
200,metal,rb_sor,13,0.897653792
200,metal,rb_sor,14,0.914157917
200,metal,rb_sor,15,1.03980075
200,metal,rb_sor,16,0.887245875
200,metal,rb_sor,17,0.899909208
200,metal,rb_sor,18,1.01198925
200,metal,rb_sor,19,0.903580041
200,metal,rb_sor,20,1.009126625
40,metal,multigrid,1,4.948474542
40,metal,multigrid,2,5.031422417
40,metal,multigrid,3,5.134367
40,metal,multigrid,4,5.010514042
40,metal,multigrid,5,4.993518458
40,metal,multigrid,6,4.970707166
40,metal,multigrid,7,5.00622275
40,metal,multigrid,8,5.014998541
40,metal,multigrid,9,5.003176875
40,metal,multigrid,10,4.955805375
40,metal,multigrid,11,5.007191667
40,metal,multigrid,12,5.006443667
40,metal,multigrid,13,5.04280375
40,metal,multigrid,14,5.054335208
40,metal,multigrid,15,4.985607959
40,metal,multigrid,16,5.043362
40,metal,multigrid,17,5.026758458
40,metal,multigrid,18,5.030714083
40,metal,multigrid,19,5.005838125
40,metal,multigrid,20,4.931496625
60,metal,multigrid,1,5.18820975
60,metal,multigrid,2,5.169302917
60,metal,multigrid,3,5.154178041
60,metal,multigrid,4,5.22035425
60,metal,multigrid,5,5.150289375
